object1,object2,time
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
 -9.93048400e+05  2.51032677e+06  6.48350177e+06]","[ 1.67520960e+09  4.21767882e+04  7.02347726e+06  1.00000000e+00
 -9.92620221e+05  2.51028939e+06  6.48400996e+06]",1982828900
"[ 1.67520960e+09  4.23979806e+04  7.02231800e+06  1.00000000e+00
 -3.13319166e+06 -1.39871796e+06  6.12696076e+06]","[ 1.67520960e+09  4.21951278e+04  7.02300235e+06  1.00000000e+00
 -3.13340847e+06 -1.39877081e+06  6.12762218e+06]",1984336200
"[ 1.67520960e+09  4.23979806e+04  7.02231800e+06  1.00000000e+00
 -2.63148478e+06 -9.34658926e+05  6.44318637e+06]","[ 1.67520960e+09  4.21951278e+04  7.02300235e+06  1.00000000e+00
 -2.63172232e+06 -9.34732845e+05  6.44382449e+06]",1984336300
"[ 1.67520960e+09  4.23979806e+04  7.02231800e+06  1.00000000e+00
 -2.09951794e+06 -4.59852063e+05  6.68532053e+06]","[ 1.67520960e+09  4.21951278e+04  7.02300235e+06  1.00000000e+00
 -2.09978232e+06 -4.59949344e+05  6.68594966e+06]",1984336400
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
 -1.15113298e+06 -1.59970028e+06 -6.74127474e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
 -1.15151007e+06 -1.59938245e+06 -6.74082157e+06]",1987996800
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
 -4.67728802e+05 -1.91581135e+06 -6.74090720e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
 -4.68090018e+05 -1.91551599e+06 -6.74050186e+06]",1987996900
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  2.21051272e+05 -2.20990282e+06 -6.66306229e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  2.20711099e+05 -2.20962914e+06 -6.66269470e+06]",1987997000
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  9.07290669e+05 -2.47859453e+06 -6.50863473e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  9.06974967e+05 -2.47834085e+06 -6.50829456e+06]",1987997100
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  1.58310202e+06 -2.71879824e+06 -6.27939944e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  1.58281243e+06 -2.71856205e+06 -6.27907638e+06]",1987997200
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  2.24071781e+06 -2.92775313e+06 -5.97799118e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  2.24045421e+06 -2.92753122e+06 -5.97767521e+06]",1987997300
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  2.87257966e+06 -3.10305757e+06 -5.60787420e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  2.87234018e+06 -3.10284608e+06 -5.60755590e+06]",1987997400
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  3.47142519e+06 -3.24269667e+06 -5.17330250e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  3.47120630e+06 -3.24249124e+06 -5.17297326e+06]",1987997500
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  4.03037151e+06 -3.34506547e+06 -4.67927086e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  4.03016815e+06 -3.34486139e+06 -4.67892317e+06]",1987997600
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  4.54299430e+06 -3.40898738e+06 -4.13145750e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  4.54279999e+06 -3.40877969e+06 -4.13108513e+06]",1987997700
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  5.00340168e+06 -3.43372772e+06 -3.53615877e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  5.00320873e+06 -3.43351134e+06 -3.53575696e+06]",1987997800
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  5.40630190e+06 -3.41900212e+06 -2.90021680e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  5.40610159e+06 -3.41877205e+06 -2.89978246e+06]",1987997900
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  5.74706418e+06 -3.36497984e+06 -2.23094087e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  5.74684701e+06 -3.36473124e+06 -2.23047264e+06]",1987998000
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  6.02177194e+06 -3.27228179e+06 -1.53602337e+06]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  6.02152783e+06 -3.27201017e+06 -1.53552175e+06]",1987998100
"[ 1.67520960e+09  4.21767882e+04  7.02345593e+06  1.00000000e+00
  6.22726779e+06 -3.14197340e+06 -8.23451407e+05]","[ 1.67520960e+09  4.21951278e+04  7.02301040e+06  1.00000000e+00
  6.22698639e+06 -3.14167473e+06 -8.22918825e+05]",1987998200
