Epoch = 131, ER Nodes = 1403, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.42, removal rate = 12
Epoch = 132, ER Nodes = 1404, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.42, removal rate = 12
Epoch = 133, ER Nodes = 1405, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.42, removal rate = 12
Epoch = 134, ER Nodes = 1412, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.42, removal rate = 12
Epoch = 135, ER Nodes = 1415, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.42, removal rate = 12
Epoch = 136, ER Nodes = 1420, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.43, removal rate = 12
Epoch = 137, ER Nodes = 1425, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.43, removal rate = 12
Epoch = 138, ER Nodes = 1431, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.43, removal rate = 12
Epoch = 139, ER Nodes = 1443, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.43, removal rate = 12
Epoch = 140, ER Nodes = 1448, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.43, removal rate = 12
Epoch = 141, ER Nodes = 1444, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.44, removal rate = 12
Epoch = 142, ER Nodes = 1448, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.43, removal rate = 12
Epoch = 143, ER Nodes = 1449, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.43, removal rate = 12
Epoch = 144, ER Nodes = 1457, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.44, removal rate = 12
Epoch = 145, ER Nodes = 1465, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.44, removal rate = 12
Epoch = 146, ER Nodes = 1473, removal debris = 12, Initial probability = 0.0003, GC Size = 18, Avg Degree = 0.44, removal rate = 12
Epoch = 147, ER Nodes = 1481, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.44, removal rate = 12
Epoch = 148, ER Nodes = 1489, removal debris = 12, Initial probability = 0.0003, GC Size = 14, Avg Degree = 0.45, removal rate = 12
Epoch = 149, ER Nodes = 1491, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.45, removal rate = 12
Epoch = 150, ER Nodes = 1494, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.45, removal rate = 12
Epoch = 151, ER Nodes = 1494, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.45, removal rate = 12
Epoch = 152, ER Nodes = 1496, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.45, removal rate = 12
Epoch = 153, ER Nodes = 1501, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.45, removal rate = 12
Epoch = 154, ER Nodes = 1509, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.45, removal rate = 12
Epoch = 155, ER Nodes = 1521, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.45, removal rate = 12
Epoch = 156, ER Nodes = 1527, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.46, removal rate = 12
Epoch = 157, ER Nodes = 1539, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.46, removal rate = 12
Epoch = 158, ER Nodes = 1546, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.46, removal rate = 12
Epoch = 159, ER Nodes = 1551, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.46, removal rate = 12
Epoch = 160, ER Nodes = 1556, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.47, removal rate = 12
Epoch = 161, ER Nodes = 1553, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.47, removal rate = 12
Epoch = 162, ER Nodes = 1557, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.46, removal rate = 12
Epoch = 163, ER Nodes = 1563, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.47, removal rate = 12
Epoch = 164, ER Nodes = 1571, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.47, removal rate = 12
Epoch = 165, ER Nodes = 1578, removal debris = 12, Initial probability = 0.0003, GC Size = 14, Avg Degree = 0.47, removal rate = 12
Epoch = 166, ER Nodes = 1585, removal debris = 12, Initial probability = 0.0003, GC Size = 15, Avg Degree = 0.47, removal rate = 12
Epoch = 167, ER Nodes = 1595, removal debris = 12, Initial probability = 0.0003, GC Size = 19, Avg Degree = 0.48, removal rate = 12
Epoch = 168, ER Nodes = 1602, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.48, removal rate = 12
Epoch = 169, ER Nodes = 1613, removal debris = 12, Initial probability = 0.0003, GC Size = 16, Avg Degree = 0.48, removal rate = 12
Epoch = 170, ER Nodes = 1619, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.48, removal rate = 12
Epoch = 171, ER Nodes = 1622, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.49, removal rate = 12
